image,load,detect,class_head,textmask,wiremask,wires,stitch,nodes,snapping,conn_repair,netlist,repair,other,export,total,n_components,n_detections
circuit_21.jpg,0.0022001660108799115,0.0003648749989224598,0.013869041998987086,0.008744416001718491,0.00010708300396800041,0.02882941700227093,0.05173470900626853,0.00414999999338761,0.0012396669917507097,2.63339898083359e-05,9.333991329185665e-06,5.237499135546386e-05,0.0003807070170296356,0.0002078340039588511,0.1119159590016352,6,6
circuit_211.jpg,0.00748070799454581,0.0004134170012548566,0.16499583300901577,0.009773915997357108,0.00013966599362902343,0.02589829200587701,0.002355417003855109,0.016150291994563304,0.003216457989765331,0.0001672919897828251,1.5040990547277033e-05,7.89580080891028e-05,0.00086475201533176,0.00023416698968503624,0.23178420898329932,14,22
circuit_218.jpg,0.004129124994506128,0.0004785000055562705,0.12960020800528582,0.010412207993795164,0.00021499999274965376,0.03662600000097882,0.04124158399645239,0.009598792006727308,0.03669166700274218,5.0332993851043284e-05,3.4666998544707894e-05,9.899999713525176e-05,0.001108541022404097,0.00026133299979846925,0.2705469580105273,16,17
circuit_220.jpg,0.005575666989898309,0.0005867500003660098,0.15954291699745227,0.009340624994365498,0.00013625000428874046,0.029074875012156554,0.025751874985871837,0.01601920799294021,0.007854500014218502,0.026382333002402447,3.945900243707001e-05,0.00012483401224017143,0.0006780409894417971,0.00022566699772141874,0.28133300099580083,13,21
circuit_221.jpg,0.009235165998688899,0.0004378750018076971,0.1629427079897141,0.009042457997566089,0.00014725000073667616,0.025799833005294204,0.010177917021792382,0.01365562500723172,0.003078499998082407,0.00013425000361166894,2.7875008527189493e-05,8.941700798459351e-05,0.0006161259661894292,0.00020991599012631923,0.23559491599735338,14,22
circuit_225.jpg,0.004654375006793998,0.0006227080011740327,0.1779556660039816,0.00944391600205563,0.00022316699323710054,0.042467792009119876,0.09475933300564066,0.00587525000446476,0.03939341599470936,5.795799370389432e-05,2.4751003365963697e-05,0.00016483300714753568,0.0013105019752401859,0.00022050000552553684,0.37717416700616013,24,24
circuit_249.jpg,0.004656207995139994,0.000567167007829994,0.1553336670040153,0.009539124992443249,0.00018295799964107573,0.025767582992557436,0.00212545799149666,0.012438542005838826,0.00267537499894388,0.0001711249933578074,2.216600114479661e-05,9.845799650065601e-05,0.0008542510186089203,0.00021654200099874288,0.21464862499851733,14,21
circuit_251.jpg,0.003193416996509768,0.0003455830010352656,0.017649250003159977,0.009471750003285706,0.00016058399342000484,0.026436458007083274,0.014289042010204867,0.005523874991922639,0.005496750003658235,2.6875000912696123e-05,9.166993550024927e-06,7.341599848587066e-05,0.0003999170003226027,0.00021949999791104347,0.08329558400146198,6,6
circuit_255.jpg,0.003095457999734208,0.0004908330010948703,0.02059204199758824,0.009074249988771044,0.00010970800940413028,0.029546417004894465,0.03275341700646095,0.004953167008352466,0.0016276249953079969,2.7832997147925198e-05,1.2584001524373889e-05,6.0874997870996594e-05,0.0006759569951100275,0.0002017499937210232,0.10322191599698272,7,7
circuit_257.jpg,0.005484041990712285,0.00046479099546559155,0.13521033398865256,0.009475833008764312,0.00014516699593514204,0.033094500002334826,0.05227054200076964,0.0056219580001197755,0.0038627079920843244,4.829200042877346e-05,2.158299321308732e-05,0.0001323329925071448,0.0004222920397296548,0.00023908399452921003,0.24649345899524633,18,18
circuit_259.jpg,0.00432962499326095,0.00036416700459085405,0.13169224999728613,0.009130208010901697,0.00013350001245271415,0.03395908400125336,0.05305033300828654,0.009180332999676466,0.050583290998474695,4.587500006891787e-05,2.241699257865548e-05,0.0001332500105490908,0.0006643339584115893,0.0002502080023987219,0.2935388749901904,15,17
circuit_264.jpg,0.004430708009749651,0.000520707995747216,0.02225791700766422,0.00948545899882447,0.0001135829952545464,0.03058229100133758,0.0300739169906592,0.005371959006879479,0.002401874997303821,3.929100057575852e-05,1.9081999198533595e-05,7.404199277516454e-05,0.0004126679996261373,0.00022033399727661163,0.10600383399287239,9,9
circuit_270.jpg,0.002550459001213312,0.0004384159983601421,0.01627925000502728,0.008782499993685633,0.00011249999806750566,0.03347433399176225,0.021315624995622784,0.005376500004786067,0.001272042005439289,2.724998921621591e-05,1.0584000847302377e-05,5.308400432113558e-05,0.00039549701614305377,0.00018625000666361302,0.09027429101115558,6,6
