image,c_render_ok,c_unrouted_nets,c_bad_pins,c_foreign_intrusions,A_tp_f1,A_net_f1,A_percomp,B_tp_f1,B_net_f1,B_percomp,C_tp_f1,C_net_f1,C_percomp,D_tp_f1,D_net_f1,D_percomp
circuit_185.jpg,1,0,0,0,0.7272727272727272,0.7777777777777778,0.4,0.7272727272727272,0.7777777777777778,0.4,1.0,1.0,1.0,1.0,1.0,1.0
circuit_187.jpg,1,0,0,0,0.14678899082568808,0.3404255319148936,0.0,0.20183486238532108,0.3829787234042553,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_19.jpg,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_193.jpg,1,0,0,0,0.5269461077844312,0.6575342465753424,0.1,0.7904191616766467,0.8219178082191781,0.2,1.0,1.0,1.0,1.0,1.0,1.0
circuit_198.jpg,1,0,0,0,0.4594594594594595,0.676056338028169,0.0,0.4689655172413793,0.676056338028169,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_205.jpg,1,0,0,0,0.30909090909090914,0.5588235294117647,0.0,0.43103448275862066,0.6470588235294118,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,1.0
circuit_210.jpg,1,0,0,0,0.4137931034482759,0.6461538461538462,0.13333333333333333,0.4137931034482759,0.6461538461538462,0.13333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
circuit_215.jpg,1,0,0,0,0.6238532110091742,0.7941176470588235,0.13333333333333333,0.5607476635514019,0.735294117647059,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_226.jpg,0,1,0,1,0.46451612903225803,0.7764705882352942,0.375,0.39189189189189183,0.7209302325581396,0.25,,,,1.0,1.0,1.0
circuit_230.jpg,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_236.jpg,0,2,0,0,0.12500000000000003,0.5454545454545455,0.0,0.12500000000000003,0.5454545454545455,0.0,,,,1.0,1.0,1.0
circuit_238.jpg,1,0,0,0,0.3833333333333333,0.5599999999999999,0.14285714285714285,0.3833333333333333,0.5599999999999999,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0
circuit_260.jpg,0,3,0,0,0.0,0.19999999999999998,0.0,0.3529411764705882,0.5714285714285713,0.0,,,,1.0,1.0,1.0
circuit_263.jpg,1,0,0,0,1.0,1.0,1.0,0.3,0.6363636363636364,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_267.jpg,1,0,0,0,0.4705882352941177,0.6363636363636364,0.16666666666666666,0.4705882352941177,0.6363636363636364,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
circuit_294.jpg,0,0,1,0,0.14035087719298245,0.48484848484848486,0.0,0.1415929203539823,0.48484848484848486,0.0,,,,1.0,1.0,1.0
circuit_297.jpg,0,2,1,1,0.017391304347826087,0.1443298969072165,0.0,0.06451612903225806,0.35714285714285715,0.0,,,,1.0,1.0,1.0
circuit_299.jpg,1,0,0,0,0.7755102040816326,0.7857142857142856,0.125,0.7755102040816326,0.7857142857142856,0.125,1.0,1.0,1.0,1.0,1.0,1.0
circuit_300.jpg,1,0,0,0,0.75,0.8235294117647058,0.4444444444444444,0.8387096774193548,0.8823529411764706,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0
circuit_303.jpg,1,0,0,0,0.0,0.0,0.0,0.32075471698113206,0.5901639344262295,0.0,0.8260869565217391,0.9166666666666666,0.3157894736842105,1.0,1.0,1.0
circuit_312.jpg,1,0,0,0,0.8292682926829268,0.9444444444444444,0.6,0.9090909090909091,0.972972972972973,0.6,0.9090909090909091,0.972972972972973,0.6,1.0,1.0,1.0
circuit_318.jpg,1,0,0,0,0.7777777777777777,0.8181818181818182,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_324.jpg,0,1,0,0,0.8412698412698412,0.9166666666666666,0.42105263157894735,0.603448275862069,0.7714285714285715,0.10526315789473684,,,,1.0,1.0,1.0
circuit_327.jpg,1,0,0,0,0.5333333333333333,0.7272727272727273,0.3333333333333333,0.5333333333333333,0.7272727272727273,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
circuit_328.jpg,0,5,0,0,0.013888888888888888,0.20224719101123598,0.0,0.058823529411764705,0.3287671232876712,0.0,,,,1.0,1.0,1.0
circuit_333.jpg,1,0,0,0,0.4090909090909091,0.6666666666666667,0.0,0.4680851063829788,0.6666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_337.jpg,1,0,0,0,0.5942028985507246,0.7216494845360826,0.21739130434782608,0.3458646616541354,0.5979381443298969,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_344.jpg,0,1,0,0,0.4000000000000001,0.5970149253731343,0.0,0.3272727272727273,0.5806451612903226,0.0,,,,1.0,1.0,1.0
circuit_35.jpg,1,0,0,0,0.058823529411764705,0.3225806451612903,0.0,0.22857142857142854,0.4516129032258065,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_350.jpg,1,0,0,0,0.9056603773584906,0.9275362318840579,0.7222222222222222,0.9454545454545454,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_355.jpg,1,0,0,0,0.5161290322580646,0.7142857142857142,0.125,0.5161290322580646,0.689655172413793,0.125,1.0,1.0,1.0,1.0,1.0,1.0
circuit_356.jpg,1,0,0,0,0.23076923076923078,0.5384615384615384,0.0,0.23076923076923078,0.5384615384615384,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_361.jpg,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_372.jpg,1,0,0,0,0.06451612903225808,0.2758620689655172,0.0,0.23076923076923078,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_374.jpg,0,0,0,1,0.7826086956521738,0.896551724137931,0.375,0.5,0.6923076923076923,0.25,,,,1.0,1.0,1.0
circuit_383.jpg,1,0,0,0,1.0,1.0,1.0,0.8,0.8666666666666667,0.375,1.0,1.0,1.0,1.0,1.0,1.0
circuit_384.jpg,1,0,0,0,0.8181818181818182,0.9230769230769231,0.5714285714285714,0.9,0.9230769230769231,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0
