image,n_gt_nets,tp_precision,tp_recall,tp_f1,unmatched_gt,clean,welded,split,welded+split,lost_terminal,unmatched
circuit_355.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_356.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_361.jpg,6,1.0,1.0,1.0,0,6,0,0,0,0,0
circuit_372.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_374.jpg,6,1.0,1.0,1.0,0,6,0,0,0,0,0
circuit_383.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_384.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_386.jpg,4,1.0,0.8421,0.9143,0,3,0,1,0,0,0
circuit_394.jpg,7,0.6667,0.8889,0.7619,0,5,1,1,0,0,0
circuit_41.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_415.jpg,9,0.4677,0.4462,0.4567,0,1,5,0,3,0,0
circuit_417.jpg,6,1.0,1.0,1.0,0,6,0,0,0,0,0
circuit_427.jpg,7,0.8333,0.8333,0.8333,1,6,1,0,0,0,0
circuit_437.jpg,11,0.283,0.3659,0.3191,4,0,6,0,3,0,2
circuit_438.jpg,8,0.807,0.4946,0.6133,0,6,0,0,2,0,0
circuit_439.jpg,3,1.0,1.0,1.0,0,3,0,0,0,0,0
circuit_455.jpg,3,0.4474,0.4595,0.4533,1,0,1,0,1,0,1
circuit_468.jpg,7,0.1229,0.4151,0.1897,1,0,1,0,3,0,3
circuit_469.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_470.jpg,7,0.381,0.8889,0.5333,0,4,1,1,0,0,1
circuit_472.jpg,12,0.6346,0.7674,0.6947,0,9,0,0,2,0,1
circuit_481.jpg,5,0.6,1.0,0.75,0,1,4,0,0,0,0
circuit_485.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_492.jpg,17,0.3333,0.4921,0.3974,0,6,0,1,8,0,2
circuit_506.jpg,12,1.0,1.0,1.0,0,12,0,0,0,0,0
circuit_522.jpg,16,1.0,1.0,1.0,0,16,0,0,0,0,0
circuit_524.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_525.jpg,12,0.4565,0.1981,0.2763,0,3,0,0,9,0,0
circuit_537.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_538.jpg,16,0.7826,0.7826,0.7826,2,11,1,0,4,0,0
circuit_555.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_560.jpg,9,0.6825,0.6232,0.6515,1,5,1,1,2,0,0
circuit_563.jpg,9,0.3108,0.3538,0.3309,1,1,1,0,7,0,0
circuit_575.jpg,6,0.6,0.3913,0.4737,1,3,1,1,1,0,0
circuit_576.jpg,10,0.2941,0.4444,0.354,3,1,4,0,4,0,1
circuit_588.jpg,7,0.7115,0.8043,0.7551,0,3,2,2,0,0,0
circuit_591.jpg,4,0.6111,0.6111,0.6111,1,2,2,0,0,0,0
circuit_595.jpg,7,0.6522,1.0,0.7895,0,5,1,0,0,0,1
circuit_6.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_606.jpg,16,0.8358,0.8358,0.8358,1,13,3,0,0,0,0
circuit_607.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_61.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_611.jpg,5,0.6667,1.0,0.8,0,3,1,0,0,0,1
circuit_613.jpg,12,0.4889,0.2075,0.2914,1,5,0,1,6,0,0
circuit_614.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_618.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_623.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_645.jpg,5,0.8182,1.0,0.9,0,3,1,0,0,0,1
circuit_649.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_658.jpg,6,1.0,1.0,1.0,0,6,0,0,0,0,0
circuit_665.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_678.jpg,9,0.8281,0.7681,0.797,0,6,1,1,1,0,0
circuit_689.jpg,9,0.746,0.7231,0.7344,0,5,2,0,2,0,0
circuit_690.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_707.jpg,3,0.3077,0.5714,0.4,1,1,1,0,0,0,1
circuit_709.jpg,7,0.2963,0.3556,0.3232,0,2,1,2,2,0,0
circuit_720.jpg,9,0.9231,0.75,0.8276,0,7,0,1,1,0,0
circuit_726.jpg,4,0.6538,0.6296,0.6415,0,1,1,0,1,0,1
circuit_730.jpg,6,0.6667,0.9231,0.7742,0,3,2,0,0,0,1
circuit_733.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_743.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_748.jpg,10,1.0,1.0,1.0,0,10,0,0,0,0,0
circuit_750.jpg,9,0.791,0.7681,0.7794,0,5,2,1,1,0,0
circuit_755.jpg,9,1.0,0.8261,0.9048,0,8,0,1,0,0,0
circuit_760.jpg,2,1.0,1.0,1.0,0,2,0,0,0,0,0
circuit_769.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_775.jpg,11,0.7826,0.2535,0.383,0,7,0,1,3,0,0
circuit_784.jpg,6,0.6552,1.0,0.7917,0,4,1,0,0,0,1
circuit_795.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_808.jpg,12,0.5357,0.283,0.3704,2,3,5,1,3,0,0
circuit_816.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_820.jpg,12,0.6585,0.3333,0.4426,0,7,0,1,4,0,0
circuit_823.jpg,7,1.0,1.0,1.0,0,7,0,0,0,0,0
circuit_832.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_833.jpg,4,0.6875,1.0,0.8148,0,2,2,0,0,0,0
circuit_835.jpg,12,0.5349,0.3026,0.3866,1,4,1,1,6,0,0
circuit_836.jpg,7,0.2682,1.0,0.4229,0,3,1,0,0,0,3
circuit_856.jpg,10,1.0,1.0,1.0,0,10,0,0,0,0,0
circuit_862.jpg,5,0.8571,0.6667,0.75,0,3,0,1,1,0,0
circuit_869.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_87.jpg,7,0.4923,0.7111,0.5818,1,1,3,1,1,0,1
circuit_884.jpg,10,1.0,1.0,1.0,0,10,0,0,0,0,0
circuit_885.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_886.jpg,16,0.8205,0.9014,0.8591,1,10,6,0,0,0,0
circuit_895.jpg,16,1.0,1.0,1.0,0,16,0,0,0,0,0
circuit_897.jpg,6,0.6842,1.0,0.8125,0,4,2,0,0,0,0
circuit_9.jpg,7,1.0,1.0,1.0,0,7,0,0,0,0,0
circuit_901.jpg,7,0.6522,1.0,0.7895,0,5,1,0,0,0,1
circuit_904.jpg,6,0.3684,0.178,0.24,1,1,0,0,5,0,0
circuit_910.jpg,7,0.5254,0.6889,0.5962,0,2,1,2,1,0,1
circuit_925.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_926.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_931.jpg,7,0.5797,0.8889,0.7018,1,3,3,0,0,0,1
circuit_932.jpg,14,0.4878,0.3333,0.396,3,5,5,1,3,0,0
circuit_937.jpg,16,1.0,1.0,1.0,0,16,0,0,0,0,0
circuit_953.jpg,17,0.9359,0.9125,0.9241,0,14,0,2,1,0,0
circuit_957.jpg,13,0.2174,0.1,0.137,0,1,0,0,12,0,0
circuit_961.jpg,13,0.2889,0.13,0.1793,1,2,0,0,11,0,0
circuit_963.jpg,11,0.6909,0.9268,0.7917,0,6,3,0,1,0,1
circuit_968.jpg,16,1.0,1.0,1.0,0,16,0,0,0,0,0
circuit_972.jpg,12,0.4565,0.1981,0.2763,1,3,0,0,9,0,0
