epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,261.861,0.77721,0.36773,0.86878,0.97051,0.9744,0.97918,0.72969,0.95461,0.37788,0.92133,0.000348765,0.000348765,0.000348765
83,265.065,0.75646,0.36074,0.8598,0.97447,0.97716,0.98478,0.74315,0.93444,0.37028,0.9171,0.000347194,0.000347194,0.000347194
84,268.141,0.75888,0.35747,0.864,0.97587,0.97847,0.98401,0.75362,0.88793,0.36005,0.90685,0.000345624,0.000345624,0.000345624
85,271.046,0.7589,0.35953,0.86211,0.97113,0.97607,0.97975,0.73839,0.93364,0.37252,0.91524,0.000344053,0.000344053,0.000344053
86,273.977,0.77391,0.36378,0.86426,0.9722,0.97745,0.97969,0.73104,0.95132,0.37373,0.9204,0.000342482,0.000342482,0.000342482
87,277.054,0.75481,0.35766,0.85841,0.97672,0.9753,0.98107,0.74172,0.92301,0.36949,0.91469,0.000340911,0.000340911,0.000340911
88,280.079,0.75432,0.35741,0.85857,0.96867,0.98216,0.98165,0.74768,0.90711,0.36567,0.91331,0.00033934,0.00033934,0.00033934
89,283.106,0.74982,0.35283,0.85938,0.97542,0.98084,0.98178,0.75713,0.88402,0.35967,0.90916,0.00033777,0.00033777,0.00033777
90,286.253,0.76376,0.35486,0.86339,0.97401,0.97705,0.98249,0.74941,0.90053,0.36413,0.91036,0.000336199,0.000336199,0.000336199
91,289.135,0.74214,0.34788,0.85522,0.97219,0.97632,0.97984,0.7302,0.95777,0.37593,0.92315,0.000334628,0.000334628,0.000334628
92,292.908,0.74267,0.34673,0.85468,0.97306,0.97905,0.97955,0.69931,1.00844,0.38631,0.93379,0.000333057,0.000333057,0.000333057
93,296.224,0.75044,0.35516,0.86008,0.97518,0.97853,0.98077,0.74494,0.92146,0.36183,0.91504,0.000331486,0.000331486,0.000331486
94,299.453,0.72854,0.34182,0.85236,0.97628,0.98384,0.98243,0.74992,0.89841,0.35614,0.90893,0.000329916,0.000329916,0.000329916
95,302.715,0.72137,0.34488,0.85135,0.97276,0.981,0.98325,0.73393,0.93569,0.36303,0.92179,0.000328345,0.000328345,0.000328345
96,306.14,0.73173,0.34655,0.8534,0.96949,0.97778,0.98214,0.74222,0.92625,0.36148,0.9183,0.000326774,0.000326774,0.000326774
97,309.194,0.7424,0.34969,0.85776,0.97253,0.98046,0.98039,0.73999,0.9316,0.3643,0.91824,0.000325203,0.000325203,0.000325203
98,312.269,0.71858,0.34218,0.85208,0.97345,0.98266,0.98412,0.73979,0.9339,0.36723,0.91805,0.000323632,0.000323632,0.000323632
99,315.326,0.72606,0.34416,0.85704,0.97006,0.97222,0.97923,0.74416,0.91044,0.36102,0.91403,0.000322062,0.000322062,0.000322062
100,318.463,0.70867,0.3399,0.85136,0.97189,0.98039,0.9801,0.7426,0.91329,0.3635,0.91499,0.000320491,0.000320491,0.000320491
101,321.544,0.71902,0.34348,0.85152,0.97577,0.97812,0.98526,0.75592,0.88919,0.35634,0.91393,0.00031892,0.00031892,0.00031892
102,324.466,0.72483,0.34314,0.85521,0.97199,0.97973,0.9806,0.73351,0.9485,0.37019,0.92802,0.000317349,0.000317349,0.000317349
103,327.414,0.70495,0.33926,0.84913,0.97529,0.97762,0.98441,0.7396,0.93013,0.36664,0.92009,0.000315778,0.000315778,0.000315778
104,330.451,0.71407,0.3417,0.85264,0.97508,0.97846,0.98181,0.7323,0.94679,0.36379,0.92251,0.000314208,0.000314208,0.000314208
105,333.392,0.69218,0.33048,0.84591,0.97062,0.979,0.97898,0.73484,0.94296,0.36343,0.92302,0.000312637,0.000312637,0.000312637
106,336.489,0.70316,0.33571,0.84878,0.97356,0.97595,0.97789,0.73792,0.92931,0.36563,0.91868,0.000311066,0.000311066,0.000311066
107,339.699,0.69808,0.33223,0.8486,0.97107,0.9785,0.97685,0.73792,0.93205,0.36313,0.92171,0.000309495,0.000309495,0.000309495
108,342.773,0.69584,0.33244,0.84908,0.96969,0.97754,0.97511,0.74236,0.90372,0.36182,0.91703,0.000307924,0.000307924,0.000307924
109,346.077,0.72345,0.33516,0.85363,0.97435,0.97384,0.97647,0.73623,0.93499,0.37251,0.92196,0.000306354,0.000306354,0.000306354
110,349.36,0.70445,0.33368,0.84977,0.97228,0.97954,0.97665,0.74497,0.90996,0.35669,0.91332,0.000304783,0.000304783,0.000304783
111,352.438,0.68956,0.32779,0.84669,0.97399,0.97914,0.98228,0.73789,0.93656,0.36376,0.92236,0.000303212,0.000303212,0.000303212
112,355.709,0.68801,0.32642,0.84756,0.97613,0.97927,0.98055,0.73086,0.94946,0.36791,0.92671,0.000301641,0.000301641,0.000301641
113,358.734,0.69752,0.33023,0.84621,0.97516,0.97699,0.98192,0.73604,0.94022,0.36256,0.92454,0.00030007,0.00030007,0.00030007
114,361.981,0.69236,0.3306,0.8475,0.97407,0.97834,0.98235,0.7443,0.92962,0.36435,0.91936,0.0002985,0.0002985,0.0002985
115,365.173,0.70515,0.33959,0.84734,0.97415,0.97732,0.97942,0.73696,0.93884,0.36193,0.92145,0.000296929,0.000296929,0.000296929
116,368.073,0.70345,0.33007,0.85027,0.97193,0.97931,0.98482,0.74603,0.92004,0.35816,0.91738,0.000295358,0.000295358,0.000295358
117,371.003,0.68801,0.32922,0.84603,0.97295,0.97683,0.98401,0.75416,0.90331,0.35398,0.91439,0.000293787,0.000293787,0.000293787
118,374.008,0.68577,0.32648,0.84415,0.97568,0.97991,0.9783,0.74497,0.91091,0.34921,0.91798,0.000292216,0.000292216,0.000292216
119,377.039,0.6774,0.32007,0.84146,0.97245,0.97936,0.98182,0.72846,0.96095,0.36687,0.92853,0.000290646,0.000290646,0.000290646
120,380.002,0.68108,0.32214,0.84815,0.97388,0.97221,0.98421,0.74286,0.92145,0.35448,0.91889,0.000289075,0.000289075,0.000289075
121,383.086,0.68476,0.32593,0.8449,0.97235,0.97579,0.98215,0.74878,0.91361,0.3597,0.91858,0.000287504,0.000287504,0.000287504
122,386.167,0.69066,0.32708,0.84766,0.97474,0.98142,0.983,0.73946,0.94369,0.36498,0.9297,0.000285933,0.000285933,0.000285933
123,389.238,0.68254,0.32474,0.84347,0.97382,0.98269,0.98315,0.73906,0.93386,0.36039,0.92234,0.000284362,0.000284362,0.000284362
124,392.601,0.67054,0.32288,0.84375,0.97287,0.97817,0.98115,0.72894,0.96517,0.36988,0.92774,0.000282792,0.000282792,0.000282792
125,396.125,0.67619,0.32555,0.84237,0.97619,0.98024,0.98291,0.74291,0.93491,0.36428,0.92135,0.000281221,0.000281221,0.000281221
126,399.444,0.66105,0.31717,0.84011,0.97512,0.98102,0.98095,0.73263,0.94661,0.35824,0.92326,0.00027965,0.00027965,0.00027965
127,402.916,0.66244,0.31335,0.84068,0.96776,0.98271,0.98193,0.73856,0.93175,0.35931,0.92177,0.000278079,0.000278079,0.000278079
128,406.133,0.65845,0.31549,0.83972,0.97212,0.98174,0.98458,0.73811,0.95001,0.36787,0.92824,0.000276508,0.000276508,0.000276508
129,409.173,0.65624,0.31692,0.83891,0.97447,0.97974,0.98158,0.72998,0.95158,0.36286,0.92855,0.000274938,0.000274938,0.000274938
130,412.184,0.65413,0.31724,0.84002,0.97694,0.97947,0.98236,0.73138,0.94269,0.36529,0.92749,0.000273367,0.000273367,0.000273367
131,415.359,0.66712,0.31536,0.84273,0.97276,0.97784,0.98172,0.73648,0.94578,0.3584,0.92455,0.000271796,0.000271796,0.000271796
132,418.288,0.65664,0.31366,0.84394,0.97534,0.97764,0.97921,0.74429,0.92008,0.3559,0.91876,0.000270225,0.000270225,0.000270225
133,421.175,0.65254,0.31496,0.84085,0.97348,0.97532,0.98418,0.73718,0.9381,0.3588,0.92265,0.000268654,0.000268654,0.000268654
134,424.074,0.66134,0.31404,0.84153,0.97539,0.97965,0.98364,0.74738,0.91646,0.3497,0.91821,0.000267084,0.000267084,0.000267084
135,426.927,0.65842,0.31306,0.84117,0.9745,0.97966,0.98059,0.7377,0.93446,0.358,0.92216,0.000265513,0.000265513,0.000265513
136,429.925,0.65163,0.31309,0.83845,0.97434,0.97964,0.98233,0.74718,0.91742,0.35361,0.91845,0.000263942,0.000263942,0.000263942
137,432.993,0.65268,0.3145,0.83994,0.9736,0.97774,0.98128,0.72158,0.99134,0.36928,0.93856,0.000262371,0.000262371,0.000262371
138,436.053,0.64258,0.31009,0.83811,0.97584,0.97795,0.97608,0.72943,0.95929,0.36682,0.93206,0.0002608,0.0002608,0.0002608
139,438.923,0.63548,0.30613,0.83593,0.97449,0.97946,0.98088,0.73152,0.96095,0.36362,0.93117,0.00025923,0.00025923,0.00025923
